(pack-first o225)
(stack o225 o95)
(stack o95 o910)
(stack o910 o648)
(stack o648 o173)
(stack o173 o239)
(stack o239 o853)
(stack o853 o509)
(stack o509 o688)
(stack o688 o289)
(stack o289 o705)
(stack o705 o812)
(stack o812 o807)
(stack o807 o350)
(stack o350 o751)
(stack o751 o764)
(stack o764 o824)
(stack o824 o598)
(stack o598 o320)
(stack o320 o189)
(stack o189 o608)
(stack o608 o629)
(stack o629 o79)
(stack o79 o846)
(stack o846 o331)
(stack o331 o120)
(stack o120 o250)
(stack o250 o13)
(stack o13 o984)
(stack o984 o282)
(stack o282 o816)
(stack o816 o729)
(stack o729 o121)
(stack o121 o113)
(stack o113 o558)
(stack o558 o499)
(stack o499 o980)
(stack o980 o115)
(stack o115 o123)
(stack o123 o886)
(stack o886 o995)
(stack o995 o657)
(stack o657 o775)
(stack o775 o428)
(stack o428 o305)
(stack o305 o335)
(stack o335 o530)
(stack o530 o618)
(stack o618 o241)
(stack o241 o935)
(stack o935 o589)
(stack o589 o286)
(stack o286 o333)
(stack o333 o821)
(stack o821 o146)
(stack o146 o196)
(stack o196 o592)
(stack o592 o405)
(stack o405 o466)
(stack o466 o952)
(stack o952 o166)
(stack o166 o990)
(stack o990 o837)
(stack o837 o707)
(stack o707 o337)
(stack o337 o953)
(stack o953 o263)
(stack o263 o325)
(stack o325 o622)
(stack o622 o600)
(stack o600 o179)
(stack o179 o475)
(stack o475 o570)
(stack o570 o857)
(stack o857 o720)
(stack o720 o400)
(stack o400 o860)
(stack o860 o972)
(stack o972 o255)
(stack o255 o366)
(stack o366 o356)
(stack o356 o642)
(stack o642 o922)
(stack o922 o628)
(stack o628 o240)
(stack o240 o461)
(stack o461 o349)
(stack o349 o319)
(stack o319 o716)
(stack o716 o389)
(stack o389 o913)
(stack o913 o105)
(stack o105 o93)
(stack o93 o222)
(stack o222 o471)
(stack o471 o423)
(stack o423 o768)
(stack o768 o964)
(stack o964 o357)
(stack o357 o465)
; cost = 100 (unit cost)
